problem_id,submission_id,LLM,status_in_folder,code,label
p03243,s556163757,GEMINI,Runtime,"N = int(input())
if N % 111 == 0:
  print(N)
else:
  for i in range(10):
    if N // 111 == i:
      print(111 * (i + 1))",1
p02949,unrelated,GEMINI,Generate,"from collections import defaultdict

def solve():
    n, m, p = map(int, input().split())
    graph = defaultdict(list)
    for _ in range(m):
        a, b, c = map(int, input().split())
        graph[a].append((b, c))

    # Dijkstra's algorithm to find the shortest path from 1 to N and maximum coins collected
    dist = [float('inf')] * (n + 1)
    coins = [0] * (n + 1)
    dist[1] = 0
    queue = [(0, 1)]
    while queue:
        time, node = queue.pop(0)
        for neighbor, coin in graph[node]:
            new_time = time + 1
            new_coins = coins[node] + coin
            if new_time < dist[neighbor] or (new_time == dist[neighbor] and new_coins > coins[neighbor]):
                dist[neighbor] = new_time
                coins[neighbor] = new_coins
                queue.append((new_time, neighbor))

    # Check if N can be reached
    if dist[n] == float('inf'):
        return -1

    # Calculate maximum score
    max_score = coins[n] - p * dist[n]

    # Check for infinite score
    for neighbor, coin in graph[n]:
        if neighbor == n:
            return -1

    return max_score

print(solve())
",1
p02701,s743897659,LLAMA,Wrong,"N = int(input())
a = []

for i in range(N):
  a.append(input())
  
b = set(a)
print(len(b))",1
p03380,s136562567,GEMINI,Runtime,"import math
import numpy

n=int(input())
a=list(map(int,input().split()))

max_num=max(a)
middle_num=math.ceil(max_num/2)
middle_num_up=middle_num
middle_num_down=middle_num

if n>2:
    while True:
        if middle_num_up in a:
            ans=middle_num_up
            break
        if middle_num_down in a:
            ans=middle_num_down
            break
        else:
            middle_num_up+=1
            middle_num_down-=1
else:
    ans=min(a)

print(""{} {}"".format(max_num,ans))",1
p03229,unrelated,LLAMA,Generate,"  def max_sum_of_abs_diffs(arr):
    arr.sort()
    return sum(abs(arr[i] - arr[i - 1]) for i in range(1, len(arr)))",1
p02763,s450892558,LLAMA,Wrong,"import sys
#input = sys.stdin.buffer.readline

#sys.setrecursionlimit(10**9)
#from functools import lru_cache

def RD(): return sys.stdin.read()


def II(): return int(input())


def MI(): return map(int,input().split())


def MF(): return map(float,input().split())


def LI(): return list(map(int,input().split()))


def LF(): return list(map(float,input().split()))


def TI(): return tuple(map(int,input().split()))

# rstrip().decode('utf-8')

class BinaryIndexedTree:
	def __init__(self,n,default=0):
		self.s=[default]*(n+1)
		self.n=n
	
	def add(self,val,idx):
		while idx<self.n+1:
			self.s[idx]=self.s[idx]+val
			idx+=idx&(-idx)
		return
	
	def get(self,idx):
		res=0
		while idx>0:
			res=res+self.s[idx]
			idx-=idx&(-idx)
		return res

from collections import defaultdict

def main():
	n=II()
	s=input()
	S=[0]+list(s)
	
	d=defaultdict(lambda:BinaryIndexedTree(n))
	
	for i,si in enumerate(s):
		#print(i,si)
		d[si].add(1,i+1)
	
	q=II()
	for _ in range(q):
		f,a,b=input().split()
		if int(f)==1:
			a=int(a)
			d[S[a]].add(0,a)
			d[b].add(1,a)
			S[a]=b
		else:
			#print(S,a,b)
			a=int(a)
			b=int(b)
			cnt=0
			for bit in d.values():
				if bit.get(b)-bit.get(a-1)>0:
					cnt+=1
			print(cnt)
		
	

if __name__==""__main__"":
	main()",1
p03230,unrelated,LLAMA,Generate,"def find_tuple(N):
    # Initialize an empty list to store the subsets
    subsets = []

    # Iterate over the integers from 1 to N
    for i in range(1, N + 1):
        # Check if the current integer is already in a subset
        found = False
        for subset in subsets:
            if i in subset:
                found = True
                break

        # If the current integer is not in a subset, create a new subset with the current integer
        if not found:
            subsets.append([i])

    # Check if the number of subsets is equal to N
    if len(subsets) != N:
        return ""No""

    # Check if each integer is in exactly two subsets
    for i in range(1, N + 1):
        count = 0
        for subset in subsets:
            if i in subset:
                count += 1
        if count != 2:
            return ""No""

    # Check if any two subsets have exactly one element in common
    for i in range(len(subsets)):
        for j in range(i + 1, len(subsets)):
            common_elements = set(subsets[i]).intersection(subsets[j])
            if len(common_elements) != 1:
                return ""No""

    # If all conditions are satisfied, return the tuple of subsets
    return ""Yes\n"" + ""\n"".join(str(len(subset)) + "" "" + "" "".join(map(str, subset)) for subset in subsets)
",1
p02997,s754633978,GEMINI,Runtime,"import math

def combinations_count(n, r):
    return math.factorial(n) // (math.factorial(n - r) * math.factorial(r))


N, K = map(int, input().split())
x = combinations_count(N-1, 2)
if K < N-1 or x < K:
    print('-1')
    quit()

for i in range(2,N+1):
    print('1', str(i))

hen = x-K
x = 2
y = 3
while hen > 0:
    print(x,y)
    y += 1
    if y > N:
        x += 1
        y = x+1
    hen -= 1",1
p03548,s784441037,LLAMA,Wrong,"X, Y, Z = map(int, input().split())
print((X-Z)//Y+1)",1
p02603,s500247943,LLAMA,Wrong,"N = int(input())
A = list(map(int, input().split()))
n_money = 1000
n_stock = 0
for i in range(N-1):
    if A[i+1] > A[i]:
        # buy
        n_stock = n_money // A[i]
        n_money = n_money - n_stock * A[i]
    else:
        # sell
        n_money += n_stock * A[i]
        n_stock = 0
n_money += n_stock * A[N-1]
print(n_money)",1
p02700,s072416657,CODESTRAL,Wrong,"A, B, C, D = map(int, input().split())

while A > 0 and C > 0:
    C -= B
    if C <= 0:
        break
    A -= D

print('Yes' if A > 0 else 'No')",1
