code,label,topic,complexity,description
"public class HelloWorld {
    public static void main(String[] args) {
        System.out.println(""Hello, World!"");
    }
}",Human,Basic Java Program,Beginner,Simple hello world program
"public class Calculator {
    public int add(int a, int b) { return a + b; }
    public int subtract(int a, int b) { return a - b; }
    public int multiply(int a, int b) { return a * b; }
    public double divide(int a, int b) { return (double) a / b; }
}",Human,Methods and Operations,Beginner,Basic calculator with arithmetic operations
"import java.util.Scanner;
public class UserInput {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        System.out.print(""Enter your name: "");
        String name = sc.nextLine();
        System.out.println(""Hello, "" + name);
        sc.close();
    }
}",Human,Input/Output,Beginner,Reading user input with Scanner
"public class DataTypes {
    public static void main(String[] args) {
        int age = 25;
        double salary = 50000.50;
        char grade = 'A';
        boolean isActive = true;
        String name = ""John"";
        System.out.println(""Age: "" + age);
        System.out.println(""Salary: "" + salary);
    }
}",AI,Data Types,Beginner,Demonstration of primitive data types
"public class ConditionalDemo {
    public static void main(String[] args) {
        int score = 85;
        if (score >= 90) {
            System.out.println(""Grade: A"");
        } else if (score >= 80) {
            System.out.println(""Grade: B"");
        } else {
            System.out.println(""Grade: C"");
        }
    }
}",AI,Control Structures - Conditionals,Beginner,If-else conditional statements
"public class SwitchDemo {
    public static void main(String[] args) {
        int day = 3;
        switch(day) {
            case 1: System.out.println(""Monday""); break;
            case 2: System.out.println(""Tuesday""); break;
            case 3: System.out.println(""Wednesday""); break;
            default: System.out.println(""Invalid day"");
        }
    }
}",Human,Control Structures - Switch,Beginner,Switch statement for day selection
"public class ForLoopDemo {
    public static void main(String[] args) {
        for (int i = 1; i <= 5; i++) {
            System.out.println(""Iteration: "" + i);
        }
    }
}",AI,Control Structures - Loops,Beginner,Basic for loop iteration
"public class WhileLoopDemo {
    public static void main(String[] args) {
        int count = 0;
        while (count < 5) {
            System.out.println(""Count: "" + count);
            count++;
        }
    }
}",Human,Control Structures - Loops,Beginner,While loop with counter
"public class DoWhileDemo {
    public static void main(String[] args) {
        int num = 1;
        do {
            System.out.println(""Number: "" + num);
            num++;
        } while (num <= 3);
    }
}",AI,Control Structures - Loops,Beginner,Do-while loop example
"public class ArrayDemo {
    public static void main(String[] args) {
        int[] numbers = {10, 20, 30, 40, 50};
        for (int i = 0; i < numbers.length; i++) {
            System.out.println(""Element "" + i + "": "" + numbers[i]);
        }
    }
}",Human,Arrays - Single Dimensional,Intermediate,Array declaration and traversal
"public class MultiDimensionalArray {
    public static void main(String[] args) {
        int[][] matrix = {{1, 2, 3}, {4, 5, 6}, {7, 8, 9}};
        for (int i = 0; i < matrix.length; i++) {
            for (int j = 0; j < matrix[i].length; j++) {
                System.out.print(matrix[i][j] + "" "");
            }
            System.out.println();
        }
    }
}",AI,Arrays - Multi Dimensional,Intermediate,2D array matrix traversal
"public class EnhancedForLoop {
    public static void main(String[] args) {
        String[] fruits = {""Apple"", ""Banana"", ""Cherry""};
        for (String fruit : fruits) {
            System.out.println(fruit);
        }
    }
}",Human,Arrays - Enhanced For Loop,Intermediate,For-each loop with arrays
"class Student {
    private String name;
    private int age;
    
    public Student(String name, int age) {
        this.name = name;
        this.age = age;
    }
    
    public void display() {
        System.out.println(""Name: "" + name + "", Age: "" + age);
    }
}",AI,Classes and Objects,Intermediate,Basic class with constructor and method
"class BankAccount {
    private double balance;
    
    public BankAccount(double initialBalance) {
        this.balance = initialBalance;
    }
    
    public void deposit(double amount) {
        balance += amount;
    }
    
    public void withdraw(double amount) {
        if (amount <= balance) balance -= amount;
    }
    
    public double getBalance() {
        return balance;
    }
}",Human,Classes and Encapsulation,Intermediate,Encapsulation with private fields
"public class ExceptionDemo {
    public static void main(String[] args) {
        try {
            int result = 10 / 0;
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        } finally {
            System.out.println(""Execution completed"");
        }
    }
}",AI,Exception Handling,Intermediate,Try-catch-finally block
"import java.util.ArrayList;
public class ArrayListDemo {
    public static void main(String[] args) {
        ArrayList<String> list = new ArrayList<>();
        list.add(""Java"");
        list.add(""Python"");
        list.add(""C++"");
        for (String lang : list) {
            System.out.println(lang);
        }
    }
}",Human,Data Structures - ArrayList,Intermediate,ArrayList basic operations
"class Node {
    int data;
    Node next;
    
    Node(int data) {
        this.data = data;
        this.next = null;
    }
}

class LinkedList {
    Node head;
    
    public void add(int data) {
        Node newNode = new Node(data);
        if (head == null) {
            head = newNode;
        } else {
            Node temp = head;
            while (temp.next != null) {
                temp = temp.next;
            }
            temp.next = newNode;
        }
    }
}",AI,Data Structures - Linked List,Advanced,Singly linked list implementation
"import java.util.Stack;
public class StackDemo {
    public static void main(String[] args) {
        Stack<Integer> stack = new Stack<>();
        stack.push(10);
        stack.push(20);
        stack.push(30);
        System.out.println(""Top: "" + stack.peek());
        System.out.println(""Popped: "" + stack.pop());
        System.out.println(""Size: "" + stack.size());
    }
}",Human,Data Structures - Stack,Advanced,Stack operations using Java Collections
"import java.util.LinkedList;
import java.util.Queue;
public class QueueDemo {
    public static void main(String[] args) {
        Queue<String> queue = new LinkedList<>();
        queue.offer(""First"");
        queue.offer(""Second"");
        queue.offer(""Third"");
        System.out.println(""Front: "" + queue.peek());
        System.out.println(""Removed: "" + queue.poll());
    }
}",AI,Data Structures - Queue,Advanced,Queue implementation and operations
"class TreeNode {
    int value;
    TreeNode left;
    TreeNode right;
    
    TreeNode(int value) {
        this.value = value;
        this.left = null;
        this.right = null;
    }
}

class BinaryTree {
    TreeNode root;
    
    public void inorderTraversal(TreeNode node) {
        if (node != null) {
            inorderTraversal(node.left);
            System.out.print(node.value + "" "");
            inorderTraversal(node.right);
        }
    }
}",Human,Data Structures - Binary Tree,Advanced,Binary tree with inorder traversal
"public class BubbleSort {
    public static void bubbleSort(int[] arr) {
        int n = arr.length;
        for (int i = 0; i < n - 1; i++) {
            for (int j = 0; j < n - i - 1; j++) {
                if (arr[j] > arr[j + 1]) {
                    int temp = arr[j];
                    arr[j] = arr[j + 1];
                    arr[j + 1] = temp;
                }
            }
        }
    }
}",AI,Algorithms - Bubble Sort,Advanced,Bubble sort implementation
"public class SelectionSort {
    public static void selectionSort(int[] arr) {
        for (int i = 0; i < arr.length - 1; i++) {
            int minIdx = i;
            for (int j = i + 1; j < arr.length; j++) {
                if (arr[j] < arr[minIdx]) {
                    minIdx = j;
                }
            }
            int temp = arr[minIdx];
            arr[minIdx] = arr[i];
            arr[i] = temp;
        }
    }
}",Human,Algorithms - Selection Sort,Advanced,Selection sort algorithm
"public class InsertionSort {
    public static void insertionSort(int[] arr) {
        for (int i = 1; i < arr.length; i++) {
            int key = arr[i];
            int j = i - 1;
            while (j >= 0 && arr[j] > key) {
                arr[j + 1] = arr[j];
                j--;
            }
            arr[j + 1] = key;
        }
    }
}",AI,Algorithms - Insertion Sort,Advanced,Insertion sort implementation
